title,censorRating,runtime,movieId
Mufasa: The Lion King,U,118,160421
Chhaava,UA16+,161,175894
Captain America: Brave New World,UA16+,118,155397
Thandel,UA13+,151,168321
Sanam Teri Kasam (2016),U,150,140032
Vidaamuyarchi,UA16+,150,162325
Laila,A,136,178253
Sidlingu 2,UA,120,189887
Bhuvanam Gaganam,UA16+,157,189927
Bromance,U,138,182697
Raju James Bond,UA,125,153492
Orange (2010),U,160,160920
Painkili,U,136,188165
Bridget Jones: Mad About The Boy,A,125,173094
Sky Force,UA13+,125,167249
Deva,UA16+,157,167607
Loveyapa,UA16+,138,185770
Daveed,UA13+,140,187287
Nodidavaru Enanthare,UA16+,136,188729
Brahma Anandam,UA16+,148,186801
Choo Mantar,UA,142,186466
Baby and Baby,U,137,189638
Sankranthiki Vasthunam,UA,144,181781
Conclave,UA13+,123,175206
Kudumbasthan,U,155,188184
Badass Ravi kumar,UA16+,151,166630
Forest,UA16+,120,188139
Companion,A,96,178564
Moana 2,U,100,170054
Namma Preethiya Ramu,U,153,189886
Justice,UA16+,125,189925
Bhagiratha,UA13+,141,189297
Nimitta Matra,UA13+,123,189926
Shotyi Bole Shotyi Kichhu Nei,A,127,188180
Unlock Raghava,UA16+,126,187568
Sonic the Hedgehog 3,UA13+,110,170418
Oru Jaathi Jathakam,UA16+,123,188525
Chingari (2012),UA13+,130,189949
Chandni (1989),UA,186,160440
Nosferatu,A,124,173067
Wicked,UA,160,166235
Gladiator II,UA,150,171646
#ParuParvathy,UA13+,161,188726
Mr. Rani,UA16+,128,186659
Jab We Met (2007),UA,143,159985
Dhoom 2 (2006),UA,150,159537
Minnale,U,169,151567
Daaku Maharaaj ,UA16+,147,169705
Baaz (1953),U,148,186297
Bachna Ae Haseeno (2008),UA,153,189241
Good Will Hunting,U,127,188404
Ponman,UA13+,127,188272
